booking_id,trip_id,rider_id,boarding_stop_id,booked_at,promised_eta
BKG_0047,TRIP_005,R-1177,S-1708,2026-06-13 16:55:00+05:30,2026-06-15 08:00:00+05:30
BKG_0048,TRIP_005,R-1022,S-1707,2026-06-14 19:55:00+05:30,2026-06-15 07:49:55+05:30
BKG_0049,TRIP_005,R-1228,S-1701,2026-06-14 10:55:00+05:30,2026-06-15 06:55:00+05:30
BKG_0050,TRIP_005,R-1102,S-1703,2026-06-14 14:55:00+05:30,2026-06-15 07:13:42+05:30
BKG_0051,TRIP_005,R-1256,S-1707,2026-06-12 23:55:00+05:30,2026-06-15 07:49:55+05:30
BKG_0052,TRIP_006,R-1185,S-2106,2026-06-13 19:21:00+05:30,2026-06-15 08:01:00+05:30
BKG_0053,TRIP_006,R-1261,S-2102,2026-06-13 03:21:00+05:30,2026-06-15 07:29:31+05:30
BKG_0054,TRIP_006,R-1158,S-2101,2026-06-13 10:21:00+05:30,2026-06-15 07:21:00+05:30
BKG_0055,TRIP_006,R-1085,S-2102,2026-06-12 21:21:00+05:30,2026-06-15 07:29:31+05:30
BKG_0056,TRIP_006,R-1029,S-2105,2026-06-13 01:21:00+05:30,2026-06-15 07:52:14+05:30
BKG_0057,TRIP_006,R-1081,S-2102,2026-06-14 11:21:00+05:30,2026-06-15 07:29:31+05:30
BKG_0058,TRIP_007,R-1171,S-0907,2026-06-14 19:45:00+05:30,2026-06-16 07:40:00+05:30
BKG_0059,TRIP_007,R-1292,S-0907,2026-06-15 07:45:00+05:30,2026-06-16 07:40:00+05:30
BKG_0060,TRIP_007,R-1197,S-0907,2026-06-14 15:45:00+05:30,2026-06-16 07:40:00+05:30
BKG_0061,TRIP_007,R-1009,S-0905,2026-06-15 06:45:00+05:30,2026-06-16 07:22:12+05:30
BKG_0062,TRIP_007,R-1026,S-0901,2026-06-14 21:45:00+05:30,2026-06-16 06:45:00+05:30
BKG_0063,TRIP_007,R-1266,S-0904,2026-06-14 21:45:00+05:30,2026-06-16 07:11:56+05:30
BKG_0064,TRIP_007,R-1263,S-0906,2026-06-14 04:45:00+05:30,2026-06-16 07:29:50+05:30
BKG_0065,TRIP_007,R-1260,S-0907,2026-06-14 12:45:00+05:30,2026-06-16 07:40:00+05:30
BKG_0066,TRIP_007,R-1138,S-0907,2026-06-15 07:45:00+05:30,2026-06-16 07:40:00+05:30
BKG_0067,TRIP_007,R-1125,S-0905,2026-06-14 11:45:00+05:30,2026-06-16 07:22:12+05:30
BKG_0068,TRIP_007,R-1270,S-0906,2026-06-15 16:45:00+05:30,2026-06-16 07:29:50+05:30
BKG_0069,TRIP_007,R-1092,S-0902,2026-06-14 11:45:00+05:30,2026-06-16 06:52:36+05:30
BKG_0070,TRIP_007,R-1290,S-0904,2026-06-14 15:45:00+05:30,2026-06-16 07:11:56+05:30
BKG_0071,TRIP_007,R-1186,S-0904,2026-06-14 05:45:00+05:30,2026-06-16 07:11:56+05:30
BKG_0072,TRIP_007,R-1087,S-0901,2026-06-14 00:45:00+05:30,2026-06-16 06:45:00+05:30
BKG_0073,TRIP_007,R-1160,S-0903,2026-06-14 04:45:00+05:30,2026-06-16 07:03:55+05:30
BKG_0074,TRIP_008,R-1075,S-1107,2026-06-15 04:41:00+05:30,2026-06-16 07:34:20+05:30
BKG_0075,TRIP_008,R-1100,S-1101,2026-06-15 20:41:00+05:30,2026-06-16 06:41:00+05:30
BKG_0076,TRIP_008,R-1252,S-1106,2026-06-13 18:41:00+05:30,2026-06-16 07:25:05+05:30
BKG_0077,TRIP_008,R-1031,S-1101,2026-06-15 16:41:00+05:30,2026-06-16 06:41:00+05:30
BKG_0078,TRIP_008,R-1284,S-1107,2026-06-15 18:41:00+05:30,2026-06-16 07:34:20+05:30
BKG_0079,TRIP_008,R-1215,S-1102,2026-06-14 09:41:00+05:30,2026-06-16 06:49:57+05:30
BKG_0080,TRIP_008,R-1124,S-1108,2026-06-15 18:41:00+05:30,2026-06-16 07:43:39+05:30
BKG_0081,TRIP_008,R-1173,S-1102,2026-06-15 17:41:00+05:30,2026-06-16 06:49:57+05:30
BKG_0082,TRIP_008,R-1085,S-1107,2026-06-15 11:41:00+05:30,2026-06-16 07:34:20+05:30
BKG_0083,TRIP_008,R-1179,S-1105,2026-06-15 13:41:00+05:30,2026-06-16 07:15:32+05:30
BKG_0084,TRIP_008,R-1033,S-1108,2026-06-15 07:41:00+05:30,2026-06-16 07:43:39+05:30
BKG_0085,TRIP_008,R-1006,S-1101,2026-06-15 14:41:00+05:30,2026-06-16 06:41:00+05:30
BKG_0086,TRIP_008,R-1036,S-1102,2026-06-15 15:41:00+05:30,2026-06-16 06:49:57+05:30
BKG_0087,TRIP_008,R-1029,S-1106,2026-06-14 22:41:00+05:30,2026-06-16 07:25:05+05:30
BKG_0088,TRIP_008,R-1297,S-1109,2026-06-15 12:41:00+05:30,2026-06-16 07:51:00+05:30
BKG_0089,TRIP_008,R-1292,S-1108,2026-06-14 19:41:00+05:30,2026-06-16 07:43:39+05:30
BKG_0090,TRIP_009,R-1120,S-1201,2026-06-15 05:02:00+05:30,2026-06-16 07:02:00+05:30
BKG_0091,TRIP_009,R-1088,S-1201,2026-06-13 20:02:00+05:30,2026-06-16 07:02:00+05:30
BKG_0092,TRIP_009,R-1025,S-1207,2026-06-14 10:02:00+05:30,2026-06-16 07:53:55+05:30
BKG_0093,TRIP_009,R-1207,S-1208,2026-06-14 14:02:00+05:30,2026-06-16 08:02:00+05:30
BKG_0094,TRIP_009,R-1293,S-1202,2026-06-15 14:02:00+05:30,2026-06-16 07:09:11+05:30
BKG_0095,TRIP_009,R-1295,S-1202,2026-06-15 05:02:00+05:30,2026-06-16 07:09:11+05:30
BKG_0096,TRIP_009,R-1285,S-1206,2026-06-15 07:02:00+05:30,2026-06-16 07:43:19+05:30
BKG_0097,TRIP_009,R-1146,S-1208,2026-06-14 16:02:00+05:30,2026-06-16 08:02:00+05:30
BKG_0098,TRIP_009,R-1235,S-1208,2026-06-15 23:02:00+05:30,2026-06-16 08:02:00+05:30
BKG_0099,TRIP_010,R-1217,S-1401,2026-06-14 11:45:00+05:30,2026-06-16 06:45:00+05:30
BKG_0100,TRIP_010,R-1038,S-1407,2026-06-15 16:45:00+05:30,2026-06-16 07:35:57+05:30
BKG_0101,TRIP_010,R-1060,S-1403,2026-06-13 20:45:00+05:30,2026-06-16 07:01:12+05:30
BKG_0102,TRIP_010,R-1067,S-1401,2026-06-15 17:45:00+05:30,2026-06-16 06:45:00+05:30
BKG_0103,TRIP_010,R-1126,S-1403,2026-06-13 22:45:00+05:30,2026-06-16 07:01:12+05:30
BKG_0104,TRIP_010,R-1133,S-1408,2026-06-15 22:45:00+05:30,2026-06-16 07:43:26+05:30
BKG_0105,TRIP_010,R-1025,S-1408,2026-06-13 22:45:00+05:30,2026-06-16 07:43:26+05:30
BKG_0106,TRIP_010,R-1100,S-1407,2026-06-13 19:45:00+05:30,2026-06-16 07:35:57+05:30
BKG_0107,TRIP_010,R-1153,S-1407,2026-06-15 10:45:00+05:30,2026-06-16 07:35:57+05:30
BKG_0108,TRIP_010,R-1141,S-1410,2026-06-14 22:45:00+05:30,2026-06-16 08:00:00+05:30
BKG_0109,TRIP_010,R-1077,S-1406,2026-06-13 23:45:00+05:30,2026-06-16 07:26:24+05:30
BKG_0110,TRIP_010,R-1210,S-1410,2026-06-15 18:45:00+05:30,2026-06-16 08:00:00+05:30
BKG_0111,TRIP_010,R-1163,S-1410,2026-06-14 03:45:00+05:30,2026-06-16 08:00:00+05:30
BKG_0112,TRIP_010,R-1054,S-1404,2026-06-14 21:45:00+05:30,2026-06-16 07:10:28+05:30
BKG_0113,TRIP_010,R-1157,S-1403,2026-06-15 21:45:00+05:30,2026-06-16 07:01:12+05:30
BKG_0114,TRIP_010,R-1224,S-1402,2026-06-15 21:45:00+05:30,2026-06-16 06:53:05+05:30
BKG_0115,TRIP_011,R-1160,S-1703,2026-06-14 20:45:00+05:30,2026-06-16 07:03:42+05:30
BKG_0116,TRIP_011,R-1070,S-1704,2026-06-15 18:45:00+05:30,2026-06-16 07:12:12+05:30
BKG_0117,TRIP_011,R-1112,S-1705,2026-06-14 15:45:00+05:30,2026-06-16 07:21:16+05:30
BKG_0118,TRIP_011,R-1028,S-1702,2026-06-14 11:45:00+05:30,2026-06-16 06:52:55+05:30
BKG_0119,TRIP_011,R-1288,S-1708,2026-06-15 22:45:00+05:30,2026-06-16 07:50:00+05:30
BKG_0120,TRIP_011,R-1211,S-1703,2026-06-14 14:45:00+05:30,2026-06-16 07:03:42+05:30
BKG_0121,TRIP_011,R-1261,S-1704,2026-06-14 22:45:00+05:30,2026-06-16 07:12:12+05:30
BKG_0122,TRIP_011,R-1141,S-1706,2026-06-14 21:45:00+05:30,2026-06-16 07:30:53+05:30
BKG_0123,TRIP_011,R-1005,S-1702,2026-06-15 07:45:00+05:30,2026-06-16 06:52:55+05:30
BKG_0124,TRIP_011,R-1182,S-1703,2026-06-14 00:45:00+05:30,2026-06-16 07:03:42+05:30
BKG_0125,TRIP_011,R-1091,S-1703,2026-06-13 21:45:00+05:30,2026-06-16 07:03:42+05:30
BKG_0126,TRIP_011,R-1154,S-1701,2026-06-15 13:45:00+05:30,2026-06-16 06:45:00+05:30
BKG_0127,TRIP_012,R-1185,S-2106,2026-06-15 06:21:00+05:30,2026-06-16 08:01:00+05:30
BKG_0128,TRIP_012,R-1264,S-2102,2026-06-14 12:21:00+05:30,2026-06-16 07:29:31+05:30
BKG_0129,TRIP_012,R-1074,S-2102,2026-06-14 17:21:00+05:30,2026-06-16 07:29:31+05:30
BKG_0130,TRIP_012,R-1129,S-2102,2026-06-14 20:21:00+05:30,2026-06-16 07:29:31+05:30
BKG_0131,TRIP_012,R-1021,S-2106,2026-06-15 06:21:00+05:30,2026-06-16 08:01:00+05:30
BKG_0132,TRIP_012,R-1070,S-2103,2026-06-14 10:21:00+05:30,2026-06-16 07:38:52+05:30
BKG_0133,TRIP_013,R-1118,S-0902,2026-06-16 06:50:00+05:30,2026-06-17 06:57:36+05:30
BKG_0134,TRIP_013,R-1157,S-0905,2026-06-15 21:50:00+05:30,2026-06-17 07:27:12+05:30
BKG_0135,TRIP_013,R-1272,S-0907,2026-06-15 05:50:00+05:30,2026-06-17 07:45:00+05:30
BKG_0136,TRIP_013,R-1054,S-0905,2026-06-16 14:50:00+05:30,2026-06-17 07:27:12+05:30
BKG_0137,TRIP_013,R-1165,S-0907,2026-06-16 17:50:00+05:30,2026-06-17 07:45:00+05:30
BKG_0138,TRIP_013,R-1122,S-0902,2026-06-15 19:50:00+05:30,2026-06-17 06:57:36+05:30
BKG_0139,TRIP_013,R-1060,S-0904,2026-06-16 05:50:00+05:30,2026-06-17 07:16:56+05:30
BKG_0140,TRIP_013,R-1109,S-0907,2026-06-16 04:50:00+05:30,2026-06-17 07:45:00+05:30
BKG_0141,TRIP_013,R-1286,S-0907,2026-06-16 05:50:00+05:30,2026-06-17 07:45:00+05:30
BKG_0142,TRIP_013,R-1211,S-0902,2026-06-16 21:50:00+05:30,2026-06-17 06:57:36+05:30
BKG_0143,TRIP_013,R-1166,S-0905,2026-06-14 19:50:00+05:30,2026-06-17 07:27:12+05:30
BKG_0144,TRIP_013,R-1287,S-0905,2026-06-16 04:50:00+05:30,2026-06-17 07:27:12+05:30
BKG_0145,TRIP_014,R-1251,S-1109,2026-06-15 06:46:00+05:30,2026-06-17 07:56:00+05:30
BKG_0146,TRIP_014,R-1158,S-1108,2026-06-16 12:46:00+05:30,2026-06-17 07:48:39+05:30
BKG_0147,TRIP_014,R-1193,S-1109,2026-06-14 20:46:00+05:30,2026-06-17 07:56:00+05:30
BKG_0148,TRIP_014,R-1266,S-1105,2026-06-15 07:46:00+05:30,2026-06-17 07:20:32+05:30
BKG_0149,TRIP_014,R-1120,S-1105,2026-06-14 22:46:00+05:30,2026-06-17 07:20:32+05:30
BKG_0150,TRIP_014,R-1079,S-1109,2026-06-15 01:46:00+05:30,2026-06-17 07:56:00+05:30
BKG_0151,TRIP_014,R-1002,S-1103,2026-06-16 22:46:00+05:30,2026-06-17 07:04:36+05:30
BKG_0152,TRIP_014,R-1232,S-1106,2026-06-15 20:46:00+05:30,2026-06-17 07:30:05+05:30
BKG_0153,TRIP_015,R-1104,S-1208,2026-06-16 12:05:00+05:30,2026-06-17 08:05:00+05:30
BKG_0154,TRIP_015,R-1006,S-1207,2026-06-15 23:05:00+05:30,2026-06-17 07:56:55+05:30
BKG_0155,TRIP_015,R-1018,S-1208,2026-06-16 06:05:00+05:30,2026-06-17 08:05:00+05:30
BKG_0156,TRIP_015,R-1227,S-1202,2026-06-16 14:05:00+05:30,2026-06-17 07:12:11+05:30
BKG_0157,TRIP_015,R-1027,S-1208,2026-06-15 20:05:00+05:30,2026-06-17 08:05:00+05:30
BKG_0158,TRIP_015,R-1070,S-1205,2026-06-16 18:05:00+05:30,2026-06-17 07:40:07+05:30
BKG_0159,TRIP_015,R-1245,S-1208,2026-06-14 19:05:00+05:30,2026-06-17 08:05:00+05:30
BKG_0160,TRIP_015,R-1068,S-1201,2026-06-15 00:05:00+05:30,2026-06-17 07:05:00+05:30
BKG_0161,TRIP_015,R-1054,S-1208,2026-06-16 07:05:00+05:30,2026-06-17 08:05:00+05:30
BKG_0162,TRIP_016,R-1017,S-1406,2026-06-15 09:40:00+05:30,2026-06-17 07:21:24+05:30
BKG_0163,TRIP_016,R-1097,S-1401,2026-06-16 08:40:00+05:30,2026-06-17 06:40:00+05:30
BKG_0164,TRIP_016,R-1061,S-1404,2026-06-15 11:40:00+05:30,2026-06-17 07:05:28+05:30
BKG_0165,TRIP_016,R-1168,S-1401,2026-06-14 18:40:00+05:30,2026-06-17 06:40:00+05:30
BKG_0166,TRIP_016,R-1163,S-1407,2026-06-15 22:40:00+05:30,2026-06-17 07:30:57+05:30
BKG_0167,TRIP_016,R-1063,S-1408,2026-06-16 21:40:00+05:30,2026-06-17 07:38:26+05:30
BKG_0168,TRIP_016,R-1143,S-1409,2026-06-15 01:40:00+05:30,2026-06-17 07:47:49+05:30
BKG_0169,TRIP_016,R-1083,S-1402,2026-06-16 19:40:00+05:30,2026-06-17 06:48:05+05:30
BKG_0170,TRIP_016,R-1137,S-1409,2026-06-16 14:40:00+05:30,2026-06-17 07:47:49+05:30
BKG_0171,TRIP_016,R-1295,S-1405,2026-06-15 21:40:00+05:30,2026-06-17 07:14:26+05:30
BKG_0172,TRIP_016,R-1011,S-1409,2026-06-15 05:40:00+05:30,2026-06-17 07:47:49+05:30
BKG_0173,TRIP_016,R-1236,S-1406,2026-06-14 22:40:00+05:30,2026-06-17 07:21:24+05:30
BKG_0174,TRIP_017,R-1259,S-1701,2026-06-16 22:50:00+05:30,2026-06-17 06:50:00+05:30
BKG_0175,TRIP_017,R-1151,S-1705,2026-06-16 06:50:00+05:30,2026-06-17 07:26:16+05:30
BKG_0176,TRIP_017,R-1021,S-1704,2026-06-15 00:50:00+05:30,2026-06-17 07:17:12+05:30
BKG_0177,TRIP_017,R-1080,S-1701,2026-06-15 11:50:00+05:30,2026-06-17 06:50:00+05:30
BKG_0178,TRIP_017,R-1299,S-1704,2026-06-15 10:50:00+05:30,2026-06-17 07:17:12+05:30
BKG_0179,TRIP_017,R-1137,S-1701,2026-06-14 18:50:00+05:30,2026-06-17 06:50:00+05:30
BKG_0180,TRIP_017,R-1163,S-1703,2026-06-16 15:50:00+05:30,2026-06-17 07:08:42+05:30
BKG_0181,TRIP_017,R-1084,S-1703,2026-06-15 14:50:00+05:30,2026-06-17 07:08:42+05:30
BKG_0182,TRIP_017,R-1099,S-1705,2026-06-15 04:50:00+05:30,2026-06-17 07:26:16+05:30
BKG_0183,TRIP_017,R-1055,S-1705,2026-06-15 05:50:00+05:30,2026-06-17 07:26:16+05:30
BKG_0184,TRIP_017,R-1016,S-1707,2026-06-16 17:50:00+05:30,2026-06-17 07:26:16+05:30
BKG_0185,TRIP_017,R-1159,S-1708,2026-06-15 10:50:00+05:30,2026-06-17 07:17:12+05:30
BKG_0186,TRIP_017,R-1007,S-1707,2026-06-16 14:50:00+05:30,2026-06-17 07:08:42+05:30
BKG_0187,TRIP_017,R-1086,S-1708,2026-06-14 22:50:00+05:30,2026-06-17 07:26:16+05:30
BKG_0188,TRIP_017,R-1198,S-1707,2026-06-16 07:50:00+05:30,2026-06-17 07:35:53+05:30
BKG_0189,TRIP_017,R-1056,S-1708,2026-06-15 12:50:00+05:30,2026-06-17 07:44:55+05:30
BKG_0190,TRIP_018,R-1272,S-2102,2026-06-15 07:20:00+05:30,2026-06-17 07:09:31+05:30
BKG_0191,TRIP_018,R-1067,S-2105,2026-06-15 23:20:00+05:30,2026-06-17 07:32:14+05:30
BKG_0192,TRIP_018,R-1206,S-2103,2026-06-15 10:20:00+05:30,2026-06-17 07:18:52+05:30
BKG_0193,TRIP_018,R-1251,S-2103,2026-06-15 06:20:00+05:30,2026-06-17 07:18:52+05:30
BKG_0194,TRIP_018,R-1210,S-2106,2026-06-15 16:20:00+05:30,2026-06-17 07:41:00+05:30
BKG_0195,TRIP_018,R-1004,S-2103,2026-06-16 22:20:00+05:30,2026-06-17 07:18:52+05:30
BKG_0196,TRIP_019,R-1296,S-2103,2026-06-15 15:32:00+05:30,2026-06-17 07:49:52+05:30
BKG_0197,TRIP_019,R-1213,S-2106,2026-06-14 22:32:00+05:30,2026-06-17 08:12:00+05:30
BKG_0198,TRIP_019,R-1133,S-2104,2026-06-15 23:32:00+05:30,2026-06-17 07:54:46+05:30
BKG_0199,TRIP_019,R-1205,S-2101,2026-06-14 20:32:00+05:30,2026-06-17 07:32:00+05:30
BKG_0200,TRIP_019,R-1186,S-2101,2026-06-15 03:32:00+05:30,2026-06-17 07:32:00+05:30
BKG_0201,TRIP_019,R-1178,S-2102,2026-06-15 04:32:00+05:30,2026-06-17 07:40:31+05:30
