ping_id,vehicle_id,operator_id,lat,lon,speed_kmph,recorded_at,received_at
P-0000041,V-11,5,19.194226,72.962075,15.0,2026-06-15 07:07:21+05:30,2026-06-15 07:07:23+05:30
P-0000042,V-11,5,19.193559,72.961594,16.6,2026-06-15 07:07:43+05:30,2026-06-15 07:07:47+05:30
P-0000043,V-11,5,19.192946,72.961109,15.9,2026-06-15 07:08:06+05:30,2026-06-15 07:08:09+05:30
P-0000044,V-11,5,19.192249,72.960682,18.0,2026-06-15 07:08:26+05:30,2026-06-15 07:08:29+05:30
P-0000045,V-11,5,19.191714,72.960154,13.1,2026-06-15 07:08:45+05:30,2026-06-15 07:08:49+05:30
P-0000046,V-11,5,19.191042,72.959816,16.2,2026-06-15 07:09:08+05:30,2026-06-15 07:09:11+05:30
P-0000047,V-11,5,19.190636,72.959409,11.6,2026-06-15 07:09:27+05:30,2026-06-15 07:09:28+05:30
P-0000048,V-11,5,19.190103,72.958985,12.6,2026-06-15 07:09:47+05:30,2026-06-15 07:09:48+05:30
P-0000049,V-11,5,19.189473,72.958348,16.3,2026-06-15 07:10:08+05:30,2026-06-15 07:10:12+05:30
P-0000050,V-11,5,19.188963,72.95796,11.2,2026-06-15 07:10:28+05:30,2026-06-15 07:10:31+05:30
P-0000051,V-11,5,19.188173,72.957587,15.4,2026-06-15 07:10:48+05:30,2026-06-15 07:10:50+05:30
P-0000052,V-11,5,19.187787,72.957156,10.1,2026-06-15 07:11:08+05:30,2026-06-15 07:11:09+05:30
P-0000053,V-11,5,19.187234,72.956743,12.4,2026-06-15 07:11:26+05:30,2026-06-15 07:11:27+05:30
P-0000054,V-11,5,19.186476,72.95626,17.3,2026-06-15 07:11:49+05:30,2026-06-15 07:11:53+05:30
P-0000055,V-11,5,19.185919,72.955636,16.3,2026-06-15 07:12:12+05:30,2026-06-15 07:12:15+05:30
P-0000056,V-11,5,19.185129,72.955067,21.0,2026-06-15 07:12:34+05:30,2026-06-15 07:12:38+05:30
P-0000057,V-11,5,19.184478,72.954602,15.4,2026-06-15 07:12:57+05:30,2026-06-15 07:13:00+05:30
P-0000058,V-11,5,19.183979,72.954213,13.2,2026-06-15 07:13:15+05:30,2026-06-15 07:13:16+05:30
P-0000059,V-11,5,19.183341,72.953849,16.3,2026-06-15 07:13:36+05:30,2026-06-15 07:13:37+05:30
P-0000060,V-11,5,19.182678,72.953333,14.6,2026-06-15 07:13:57+05:30,2026-06-15 07:14:01+05:30
P-0000061,V-11,5,19.182122,72.953035,12.0,2026-06-15 07:14:18+05:30,2026-06-15 07:14:19+05:30
P-0000062,V-11,5,19.181586,72.95255,13.9,2026-06-15 07:14:35+05:30,2026-06-15 07:14:39+05:30
P-0000063,V-11,5,19.181032,72.95221,14.2,2026-06-15 07:14:58+05:30,2026-06-15 07:15:00+05:30
P-0000064,V-11,5,19.180361,72.951886,12.9,2026-06-15 07:15:15+05:30,2026-06-15 07:15:18+05:30
P-0000065,V-11,5,19.17976,72.951337,14.4,2026-06-15 07:15:34+05:30,2026-06-15 07:15:36+05:30
P-0000066,V-11,5,19.179185,72.950997,12.8,2026-06-15 07:15:53+05:30,2026-06-15 07:15:57+05:30
P-0000067,V-11,5,19.17875,72.95075,9.5,2026-06-15 07:16:12+05:30,2026-06-15 07:16:16+05:30
P-0000068,V-11,5,19.178169,72.950305,14.3,2026-06-15 07:16:33+05:30,2026-06-15 07:16:37+05:30
P-0000069,V-11,5,19.177388,72.949787,19.3,2026-06-15 07:16:53+05:30,2026-06-15 07:16:57+05:30
P-0000070,V-11,5,19.176983,72.949419,11.2,2026-06-15 07:17:11+05:30,2026-06-15 07:17:12+05:30
P-0000071,V-11,5,19.176329,72.949022,15.9,2026-06-15 07:17:33+05:30,2026-06-15 07:17:36+05:30
P-0000072,V-11,5,19.175644,72.9486,16.4,2026-06-15 07:17:53+05:30,2026-06-15 07:17:55+05:30
P-0000073,V-11,5,19.175003,72.948206,15.0,2026-06-15 07:18:13+05:30,2026-06-15 07:18:16+05:30
P-0000074,V-11,5,19.174524,72.947839,10.0,2026-06-15 07:18:35+05:30,2026-06-15 07:18:36+05:30
P-0000075,V-11,5,19.173736,72.947522,18.1,2026-06-15 07:18:55+05:30,2026-06-15 07:18:57+05:30
P-0000076,V-11,5,19.173339,72.946974,11.6,2026-06-15 07:19:14+05:30,2026-06-15 07:19:15+05:30
P-0000077,V-11,5,19.172442,72.9466,20.0,2026-06-15 07:19:37+05:30,2026-06-15 07:19:39+05:30
P-0000078,V-11,5,19.171922,72.946097,13.6,2026-06-15 07:19:58+05:30,2026-06-15 07:19:59+05:30
P-0000079,V-11,5,19.171206,72.945721,16.2,2026-06-15 07:20:19+05:30,2026-06-15 07:20:21+05:30
P-0000080,V-11,5,19.17066,72.945398,13.9,2026-06-15 07:20:39+05:30,2026-06-15 07:20:43+05:30
P-0000081,V-11,5,19.170218,72.944896,14.1,2026-06-15 07:20:56+05:30,2026-06-15 07:20:58+05:30
P-0000082,V-11,5,19.16977,72.944625,10.7,2026-06-15 07:21:13+05:30,2026-06-15 07:21:16+05:30
P-0000083,V-11,5,19.169122,72.944249,14.2,2026-06-15 07:21:30+05:30,2026-06-15 07:21:32+05:30
P-0000084,V-11,5,19.168603,72.944023,12.2,2026-06-15 07:21:49+05:30,2026-06-15 07:21:53+05:30
P-0000085,V-11,5,19.167976,72.94329,20.4,2026-06-15 07:22:12+05:30,2026-06-15 07:22:13+05:30
P-0000086,V-11,5,19.16751,72.942753,13.8,2026-06-15 07:22:29+05:30,2026-06-15 07:22:30+05:30
P-0000087,V-11,5,19.167209,72.942425,10.0,2026-06-15 07:22:47+05:30,2026-06-15 07:22:51+05:30
P-0000088,V-11,5,19.166816,72.941791,13.5,2026-06-15 07:23:05+05:30,2026-06-15 07:23:06+05:30
P-0000089,V-11,5,19.166384,72.941426,13.0,2026-06-15 07:23:22+05:30,2026-06-15 07:23:26+05:30
P-0000090,V-11,5,19.165964,72.940855,12.8,2026-06-15 07:23:39+05:30,2026-06-15 07:23:43+05:30
P-0000091,V-11,5,19.165318,72.940387,15.5,2026-06-15 07:23:59+05:30,2026-06-15 07:24:01+05:30
P-0000092,V-11,5,19.16482,72.939787,15.3,2026-06-15 07:24:21+05:30,2026-06-15 07:24:22+05:30
P-0000093,V-11,5,19.164509,72.93937,11.3,2026-06-15 07:24:38+05:30,2026-06-15 07:24:39+05:30
P-0000094,V-11,5,19.163936,72.938815,14.7,2026-06-15 07:25:00+05:30,2026-06-15 07:25:01+05:30
P-0000095,V-11,5,19.163478,72.938123,14.8,2026-06-15 07:25:21+05:30,2026-06-15 07:25:22+05:30
P-0000096,V-11,5,19.162849,72.937495,15.8,2026-06-15 07:25:44+05:30,2026-06-15 07:25:46+05:30
P-0000097,V-11,5,19.162227,72.936938,18.2,2026-06-15 07:26:06+05:30,2026-06-15 07:26:07+05:30
P-0000098,V-11,5,19.161763,72.936439,14.9,2026-06-15 07:26:24+05:30,2026-06-15 07:26:27+05:30
P-0000099,V-11,5,19.161373,72.936074,11.5,2026-06-15 07:26:41+05:30,2026-06-15 07:26:44+05:30
P-0000100,V-11,5,19.160959,72.935486,15.8,2026-06-15 07:27:00+05:30,2026-06-15 07:27:01+05:30
P-0000101,V-11,5,19.160496,72.935038,11.5,2026-06-15 07:27:21+05:30,2026-06-15 07:27:22+05:30
P-0000102,V-11,5,19.159877,72.93425,19.4,2026-06-15 07:27:43+05:30,2026-06-15 07:27:44+05:30
P-0000103,V-11,5,19.159444,72.933845,10.0,2026-06-15 07:28:02+05:30,2026-06-15 07:28:03+05:30
P-0000104,V-11,5,19.158863,72.93314,17.3,2026-06-15 07:28:24+05:30,2026-06-15 07:28:27+05:30
P-0000105,V-11,5,19.158387,72.93249,15.8,2026-06-15 07:28:47+05:30,2026-06-15 07:28:51+05:30
P-0000106,V-11,5,19.157972,72.932183,8.7,2026-06-15 07:29:05+05:30,2026-06-15 07:29:07+05:30
P-0000107,V-11,5,19.157292,72.931427,18.4,2026-06-15 07:29:28+05:30,2026-06-15 07:29:31+05:30
P-0000108,V-11,5,19.156719,72.93095,15.0,2026-06-15 07:29:51+05:30,2026-06-15 07:29:52+05:30
P-0000109,V-11,5,19.156341,72.930464,10.8,2026-06-15 07:30:08+05:30,2026-06-15 07:30:11+05:30
P-0000110,V-11,5,19.155883,72.92992,14.5,2026-06-15 07:30:28+05:30,2026-06-15 07:30:32+05:30
P-0000111,V-11,5,19.155308,72.929173,16.8,2026-06-15 07:30:49+05:30,2026-06-15 07:30:51+05:30
P-0000112,V-11,5,19.154858,72.928679,14.8,2026-06-15 07:31:10+05:30,2026-06-15 07:31:14+05:30
P-0000113,V-11,5,19.154341,72.928132,15.3,2026-06-15 07:31:30+05:30,2026-06-15 07:31:34+05:30
P-0000114,V-11,5,19.153832,72.927596,14.5,2026-06-15 07:31:48+05:30,2026-06-15 07:31:51+05:30
P-0000115,V-11,5,19.153324,72.927128,14.5,2026-06-15 07:32:06+05:30,2026-06-15 07:32:09+05:30
P-0000116,V-11,5,19.152898,72.926666,12.4,2026-06-15 07:32:25+05:30,2026-06-15 07:32:29+05:30
P-0000117,V-11,5,19.152215,72.926292,17.1,2026-06-15 07:32:44+05:30,2026-06-15 07:32:45+05:30
P-0000118,V-11,5,19.151663,72.926006,11.2,2026-06-15 07:33:07+05:30,2026-06-15 07:33:08+05:30
P-0000119,V-11,5,19.151011,72.92577,15.4,2026-06-15 07:33:24+05:30,2026-06-15 07:33:28+05:30
P-0000120,V-11,5,19.150378,72.925221,17.7,2026-06-15 07:33:44+05:30,2026-06-15 07:33:45+05:30
P-0000121,V-11,5,19.14969,72.924817,13.9,2026-06-15 07:34:05+05:30,2026-06-15 07:34:07+05:30
P-0000122,V-11,5,19.148984,72.924557,13.2,2026-06-15 07:34:28+05:30,2026-06-15 07:34:29+05:30
P-0000123,V-11,5,19.148588,72.92424,10.7,2026-06-15 07:34:46+05:30,2026-06-15 07:34:49+05:30
P-0000124,V-11,5,19.148053,72.924005,13.5,2026-06-15 07:35:03+05:30,2026-06-15 07:35:07+05:30
P-0000125,V-11,5,19.147203,72.923532,20.1,2026-06-15 07:35:26+05:30,2026-06-15 07:35:29+05:30
P-0000126,V-11,5,19.146664,72.92323,13.5,2026-06-15 07:35:47+05:30,2026-06-15 07:35:49+05:30
P-0000127,V-11,5,19.145845,72.922771,19.1,2026-06-15 07:36:09+05:30,2026-06-15 07:36:13+05:30
P-0000128,V-11,5,19.145194,72.922335,17.3,2026-06-15 07:36:31+05:30,2026-06-15 07:36:34+05:30
P-0000129,V-11,5,19.144467,72.922032,15.3,2026-06-15 07:36:51+05:30,2026-06-15 07:36:52+05:30
P-0000130,V-11,5,19.143923,72.921659,12.2,2026-06-15 07:37:14+05:30,2026-06-15 07:37:16+05:30
P-0000131,V-11,5,19.143376,72.921215,12.9,2026-06-15 07:37:31+05:30,2026-06-15 07:37:35+05:30
P-0000132,V-11,5,19.142661,72.920991,13.1,2026-06-15 07:37:54+05:30,2026-06-15 07:37:55+05:30
P-0000133,V-11,5,19.142034,72.920593,14.1,2026-06-15 07:38:15+05:30,2026-06-15 07:38:17+05:30
P-0000134,V-11,5,19.141363,72.920193,13.9,2026-06-15 07:38:36+05:30,2026-06-15 07:38:39+05:30
P-0000135,V-11,5,19.140525,72.919818,18.5,2026-06-15 07:38:58+05:30,2026-06-15 07:39:02+05:30
P-0000136,V-11,5,19.140062,72.919375,14.2,2026-06-15 07:39:17+05:30,2026-06-15 07:39:18+05:30
P-0000137,V-11,5,19.139329,72.91912,17.2,2026-06-15 07:39:38+05:30,2026-06-15 07:39:41+05:30
P-0000138,V-11,5,19.138576,72.91859,19.3,2026-06-15 07:40:00+05:30,2026-06-15 07:40:01+05:30
P-0000139,V-11,5,19.137855,72.918253,17.3,2026-06-15 07:40:22+05:30,2026-06-15 07:40:23+05:30
P-0000140,V-11,5,19.137265,72.917749,16.6,2026-06-15 07:40:42+05:30,2026-06-15 07:40:43+05:30
P-0000141,V-11,5,19.136741,72.917411,10.5,2026-06-15 07:41:05+05:30,2026-06-15 07:41:06+05:30
P-0000142,V-11,5,19.136286,72.917086,10.0,2026-06-15 07:41:22+05:30,2026-06-15 07:41:26+05:30
P-0000143,V-11,5,19.135709,72.916591,13.8,2026-06-15 07:41:40+05:30,2026-06-15 07:41:43+05:30
P-0000144,V-11,5,19.135101,72.916114,16.3,2026-06-15 07:42:03+05:30,2026-06-15 07:42:06+05:30
P-0000145,V-11,5,19.134486,72.915682,13.5,2026-06-15 07:42:22+05:30,2026-06-15 07:42:25+05:30
P-0000146,V-11,5,19.13391,72.915356,11.2,2026-06-15 07:42:42+05:30,2026-06-15 07:42:45+05:30
P-0000147,V-11,5,19.133186,72.914948,17.9,2026-06-15 07:43:02+05:30,2026-06-15 07:43:05+05:30
P-0000148,V-11,5,19.132678,72.914402,13.3,2026-06-15 07:43:24+05:30,2026-06-15 07:43:27+05:30
P-0000149,V-11,5,19.132038,72.913964,16.7,2026-06-15 07:43:47+05:30,2026-06-15 07:43:49+05:30
P-0000150,V-11,5,19.131412,72.913498,14.5,2026-06-15 07:44:06+05:30,2026-06-15 07:44:10+05:30
P-0000151,V-11,5,19.130784,72.912978,16.5,2026-06-15 07:44:26+05:30,2026-06-15 07:44:27+05:30
P-0000152,V-11,5,19.130356,72.912756,9.7,2026-06-15 07:44:45+05:30,2026-06-15 07:44:46+05:30
P-0000153,V-11,5,19.129744,72.912369,13.9,2026-06-15 07:45:02+05:30,2026-06-15 07:45:05+05:30
P-0000154,V-11,5,19.129321,72.911873,11.7,2026-06-15 07:45:20+05:30,2026-06-15 07:45:24+05:30
P-0000155,V-11,5,19.12843,72.911339,21.9,2026-06-15 07:45:43+05:30,2026-06-15 07:45:47+05:30
P-0000156,V-11,5,19.127786,72.911021,15.6,2026-06-15 07:46:05+05:30,2026-06-15 07:46:07+05:30
P-0000157,V-11,5,19.12725,72.910452,13.7,2026-06-15 07:46:25+05:30,2026-06-15 07:46:29+05:30
P-0000158,V-11,5,19.126719,72.910152,10.6,2026-06-15 07:46:43+05:30,2026-06-15 07:46:46+05:30
P-0000159,V-11,5,19.126155,72.909749,12.0,2026-06-15 07:47:06+05:30,2026-06-15 07:47:10+05:30
P-0000160,V-11,5,19.125346,72.909094,19.1,2026-06-15 07:47:29+05:30,2026-06-15 07:47:30+05:30
P-0000161,V-11,5,19.124886,72.908604,14.5,2026-06-15 07:47:52+05:30,2026-06-15 07:47:53+05:30
P-0000162,V-11,5,19.124235,72.908261,16.5,2026-06-15 07:48:12+05:30,2026-06-15 07:48:14+05:30
P-0000163,V-11,5,19.123736,72.907874,13.7,2026-06-15 07:48:29+05:30,2026-06-15 07:48:32+05:30
P-0000164,V-11,5,19.122979,72.907409,18.0,2026-06-15 07:48:51+05:30,2026-06-15 07:48:55+05:30
P-0000165,V-11,5,19.122642,72.907097,7.7,2026-06-15 07:49:08+05:30,2026-06-15 07:49:09+05:30
P-0000166,V-11,5,19.121899,72.90655,19.4,2026-06-15 07:49:30+05:30,2026-06-15 07:49:32+05:30
P-0000167,V-11,5,19.121305,72.906101,14.4,2026-06-15 07:49:48+05:30,2026-06-15 07:49:49+05:30
P-0000168,V-11,5,19.120711,72.90571,12.6,2026-06-15 07:50:08+05:30,2026-06-15 07:50:09+05:30
P-0000169,V-11,5,19.120096,72.905406,13.7,2026-06-15 07:50:28+05:30,2026-06-15 07:50:32+05:30
P-0000170,V-11,5,19.11959,72.905086,12.4,2026-06-15 07:50:45+05:30,2026-06-15 07:50:47+05:30
P-0000171,V-11,5,19.119758,72.904925,5.3,2026-06-15 07:51:05+05:30,2026-06-15 07:51:07+05:30
P-0000172,V-11,5,19.119716,72.905099,2.9,2026-06-15 07:51:25+05:30,2026-06-15 07:51:28+05:30
P-0000173,V-11,5,19.119654,72.905034,2.7,2026-06-15 07:51:46+05:30,2026-06-15 07:51:47+05:30
P-0000174,V-11,5,19.119595,72.904935,2.6,2026-06-15 07:52:09+05:30,2026-06-15 07:52:10+05:30
P-0000175,V-11,5,19.119651,72.904981,2.8,2026-06-15 07:52:31+05:30,2026-06-15 07:52:34+05:30
P-0000176,V-11,5,19.119623,72.904893,1.0,2026-06-15 07:52:53+05:30,2026-06-15 07:52:56+05:30
P-0000177,V-11,5,19.119594,72.90494,0.8,2026-06-15 07:53:13+05:30,2026-06-15 07:53:15+05:30
P-0000178,V-11,5,19.119596,72.905117,1.9,2026-06-15 07:53:35+05:30,2026-06-15 07:53:36+05:30
P-0000179,V-11,5,19.11976,72.905092,1.6,2026-06-15 07:53:55+05:30,2026-06-15 07:53:58+05:30
P-0000180,V-11,5,19.119699,72.905032,0.0,2026-06-15 07:54:13+05:30,2026-06-15 07:54:15+05:30
P-0000181,V-11,5,19.119803,72.905089,1.5,2026-06-15 07:54:32+05:30,2026-06-15 07:54:36+05:30
P-0000182,V-11,5,19.119714,72.905118,1.1,2026-06-15 07:54:55+05:30,2026-06-15 07:54:58+05:30
P-0000183,V-11,5,19.119589,72.904945,5.9,2026-06-15 07:55:12+05:30,2026-06-15 07:55:13+05:30
P-0000184,V-11,5,19.119783,72.905069,2.9,2026-06-15 07:55:30+05:30,2026-06-15 07:55:31+05:30
P-0000185,V-11,5,19.119695,72.905037,3.7,2026-06-15 07:55:48+05:30,2026-06-15 07:55:50+05:30
P-0000186,V-11,5,19.119612,72.90495,1.4,2026-06-15 07:56:11+05:30,2026-06-15 07:56:15+05:30
P-0000187,V-11,5,19.119604,72.90502,0.1,2026-06-15 07:56:31+05:30,2026-06-15 07:56:35+05:30
P-0000188,V-11,5,19.119808,72.904933,5.3,2026-06-15 07:56:50+05:30,2026-06-15 07:56:54+05:30
P-0000189,V-11,5,19.119647,72.904983,2.8,2026-06-15 07:57:12+05:30,2026-06-15 07:57:13+05:30
P-0000190,V-11,5,19.119713,72.904989,1.1,2026-06-15 07:57:31+05:30,2026-06-15 07:57:32+05:30
P-0000191,V-11,5,19.1197,72.905109,2.9,2026-06-15 07:57:54+05:30,2026-06-15 07:57:58+05:30
P-0000192,V-11,5,19.119642,72.905087,0.0,2026-06-15 07:58:14+05:30,2026-06-15 07:58:17+05:30
P-0000193,V-11,5,19.119721,72.904993,2.6,2026-06-15 07:58:31+05:30,2026-06-15 07:58:34+05:30
P-0000194,V-11,5,19.119819,72.905031,3.2,2026-06-15 07:58:49+05:30,2026-06-15 07:58:50+05:30
P-0000195,V-11,5,19.119621,72.904905,4.5,2026-06-15 07:59:11+05:30,2026-06-15 07:59:15+05:30
P-0000196,V-11,5,19.119736,72.905074,3.2,2026-06-15 07:59:28+05:30,2026-06-15 07:59:30+05:30
P-0000197,V-11,5,19.119802,72.904908,4.7,2026-06-15 07:59:49+05:30,2026-06-15 07:59:53+05:30
P-0000198,V-11,5,19.119636,72.905036,3.0,2026-06-15 08:00:09+05:30,2026-06-15 08:00:11+05:30
P-0000199,V-11,5,19.119596,72.904926,3.1,2026-06-15 08:00:32+05:30,2026-06-15 08:00:33+05:30
P-0000200,V-11,5,19.119686,72.905117,4.3,2026-06-15 08:00:54+05:30,2026-06-15 08:00:57+05:30
P-0000201,V-11,5,19.119741,72.905047,2.1,2026-06-15 08:01:16+05:30,2026-06-15 08:01:20+05:30
P-0000202,V-11,5,19.119696,72.904969,1.9,2026-06-15 08:01:38+05:30,2026-06-15 08:01:42+05:30
P-0000203,V-11,5,19.119688,72.904981,1.7,2026-06-15 08:01:59+05:30,2026-06-15 08:02:01+05:30
P-0000204,V-11,5,19.119775,72.905034,2.9,2026-06-15 08:02:16+05:30,2026-06-15 08:02:19+05:30
P-0000205,V-11,5,19.119744,72.905038,1.1,2026-06-15 08:02:39+05:30,2026-06-15 08:02:41+05:30
P-0000206,V-11,5,19.119599,72.905105,1.2,2026-06-15 08:02:57+05:30,2026-06-15 08:03:00+05:30
P-0000207,V-11,5,19.119614,72.904922,2.2,2026-06-15 08:03:14+05:30,2026-06-15 08:03:18+05:30
P-0000208,V-11,5,19.119649,72.904926,0.0,2026-06-15 08:03:32+05:30,2026-06-15 08:03:33+05:30
P-0000209,V-11,5,19.11962,72.904927,2.5,2026-06-15 08:03:50+05:30,2026-06-15 08:03:54+05:30
P-0000210,V-11,5,19.119685,72.905069,4.7,2026-06-15 08:04:13+05:30,2026-06-15 08:04:16+05:30
P-0000211,V-11,5,19.119701,72.9051,0.0,2026-06-15 08:04:31+05:30,2026-06-15 08:04:32+05:30
P-0000212,V-11,5,19.119788,72.905094,3.5,2026-06-15 08:04:54+05:30,2026-06-15 08:04:56+05:30
P-0000213,V-11,5,19.119632,72.904997,5.1,2026-06-15 08:05:15+05:30,2026-06-15 08:05:17+05:30
P-0000214,V-11,5,19.119674,72.905115,1.3,2026-06-15 08:05:32+05:30,2026-06-15 08:05:33+05:30
P-0000215,V-11,5,19.119653,72.905101,1.2,2026-06-15 08:05:53+05:30,2026-06-15 08:05:54+05:30
P-0000216,V-11,5,19.119753,72.904892,3.3,2026-06-15 08:06:13+05:30,2026-06-15 08:06:17+05:30
P-0000217,V-11,5,19.119786,72.904901,0.0,2026-06-15 08:06:33+05:30,2026-06-15 08:06:36+05:30
P-0000218,V-11,5,19.119762,72.904889,1.6,2026-06-15 08:06:51+05:30,2026-06-15 08:06:53+05:30
P-0000219,V-11,5,19.119772,72.905119,6.2,2026-06-15 08:07:10+05:30,2026-06-15 08:07:13+05:30
P-0000220,V-11,5,19.119781,72.904915,2.7,2026-06-15 08:07:31+05:30,2026-06-15 08:07:33+05:30
P-0000221,V-11,5,19.119703,72.904966,2.2,2026-06-15 08:07:52+05:30,2026-06-15 08:07:55+05:30
P-0000222,V-11,5,19.119786,72.904952,1.6,2026-06-15 08:08:09+05:30,2026-06-15 08:08:10+05:30
P-0000223,V-11,5,19.119693,72.904978,1.8,2026-06-15 08:08:29+05:30,2026-06-15 08:08:33+05:30
P-0000224,V-11,5,19.119612,72.90493,2.0,2026-06-15 08:08:47+05:30,2026-06-15 08:08:50+05:30
P-0000225,V-11,5,19.119691,72.904969,0.8,2026-06-15 08:09:06+05:30,2026-06-15 08:09:10+05:30
P-0000226,V-11,5,19.119777,72.904992,0.0,2026-06-15 08:09:24+05:30,2026-06-15 08:09:26+05:30
P-0000227,V-11,5,19.119611,72.905053,3.1,2026-06-15 08:09:44+05:30,2026-06-15 08:09:48+05:30
P-0000228,V-11,5,19.119787,72.904991,4.9,2026-06-15 08:10:05+05:30,2026-06-15 08:10:07+05:30
P-0000229,V-11,5,19.119698,72.905036,0.8,2026-06-15 08:10:26+05:30,2026-06-15 08:10:28+05:30
P-0000230,V-11,5,19.11967,72.904909,1.4,2026-06-15 08:10:46+05:30,2026-06-15 08:10:49+05:30
P-0000231,V-11,5,19.119703,72.905106,2.1,2026-06-15 08:11:03+05:30,2026-06-15 08:11:05+05:30
P-0000232,V-11,5,19.119607,72.904935,5.0,2026-06-15 08:11:25+05:30,2026-06-15 08:11:28+05:30
